entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,long_threshold,short_threshold,trade_direction,long_signal_threshold,short_signal_threshold,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short,short_ratio
0.3,1.0,3.5,18,48,2,0.6,0.53,short_only,0.1,0.03,0.6705990098859271,0.6205990098859271,0.13914775373036448,-0.0761313830348804,0.38461538461538464,39,0,39,1.0
0.3,1.0,3.5,18,48,2,0.63,0.53,short_only,0.13,0.03,0.6705990098859271,0.6205990098859271,0.13914775373036448,-0.0761313830348804,0.38461538461538464,39,0,39,1.0
0.3,1.0,3.5,18,48,2,0.65,0.53,short_only,0.15,0.03,0.6705990098859271,0.6205990098859271,0.13914775373036448,-0.0761313830348804,0.38461538461538464,39,0,39,1.0
0.6,1.0,2.5,18,48,12,0.58,0.53,short_only,0.08,0.03,0.669896049679451,0.619896049679451,0.12734824650183518,-0.09782148058098271,0.43243243243243246,37,0,37,1.0
0.6,1.0,2.5,18,48,12,0.6,0.53,short_only,0.1,0.03,0.669896049679451,0.619896049679451,0.12734824650183518,-0.09782148058098271,0.43243243243243246,37,0,37,1.0
0.6,1.0,2.5,18,48,12,0.63,0.53,short_only,0.13,0.03,0.669896049679451,0.619896049679451,0.12734824650183518,-0.09782148058098271,0.43243243243243246,37,0,37,1.0
0.6,1.0,2.5,18,48,12,0.65,0.53,short_only,0.15,0.03,0.669896049679451,0.619896049679451,0.12734824650183518,-0.09782148058098271,0.43243243243243246,37,0,37,1.0
0.9,1.0,3.0,18,36,12,0.58,0.53,short_only,0.08,0.03,0.6627958376853528,0.6127958376853527,0.1247281569727463,-0.09273167141623478,0.40540540540540543,37,0,37,1.0
0.9,1.0,3.0,18,36,12,0.6,0.53,short_only,0.1,0.03,0.6627958376853528,0.6127958376853527,0.1247281569727463,-0.09273167141623478,0.40540540540540543,37,0,37,1.0
0.9,1.0,3.0,18,36,12,0.63,0.53,short_only,0.13,0.03,0.6627958376853528,0.6127958376853527,0.1247281569727463,-0.09273167141623478,0.40540540540540543,37,0,37,1.0
0.9,1.0,3.0,18,36,12,0.65,0.53,short_only,0.15,0.03,0.6627958376853528,0.6127958376853527,0.1247281569727463,-0.09273167141623478,0.40540540540540543,37,0,37,1.0
0.9,1.0,3.0,18,36,3,0.58,0.53,short_only,0.08,0.03,0.6589224424955502,0.6089224424955502,0.13057358167450617,-0.07613138303488454,0.4146341463414634,41,0,41,1.0
0.9,1.0,3.0,18,36,3,0.6,0.53,short_only,0.1,0.03,0.6589224424955502,0.6089224424955502,0.13057358167450617,-0.07613138303488454,0.4146341463414634,41,0,41,1.0
0.9,1.0,3.0,18,36,3,0.63,0.53,short_only,0.13,0.03,0.6589224424955502,0.6089224424955502,0.13057358167450617,-0.07613138303488454,0.4146341463414634,41,0,41,1.0
0.9,1.0,3.0,18,36,3,0.65,0.53,short_only,0.15,0.03,0.6589224424955502,0.6089224424955502,0.13057358167450617,-0.07613138303488454,0.4146341463414634,41,0,41,1.0
0.3,1.0,2.5,12,48,2,0.58,0.53,short_only,0.08,0.03,0.6579750523643555,0.6079750523643555,0.1312165997145256,-0.08386983223177633,0.4222222222222222,45,0,45,1.0
