trade_direction,entry_atr_mult,sl_atr_mult,tp_atr_mult,min_sl,min_hold,max_hold,cooldown,long_threshold,short_threshold,signal_quantile,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short
long_only,0.6,2.5,3.0,0.015,8,24,3,0.9,0.1,0.1,0.9338628283388222,0.8717246718720411,0.21915147792538625,-0.17876774050159086,0.5391304347826087,115,115,0
long_only,0.6,2.0,3.0,0.01,4,24,3,0.85,0.15,0.15,0.9335959730922331,0.8843870062116802,0.22725476318675963,-0.17941120352919024,0.506578947368421,152,152,0
long_only,0.6,1.5,3.0,0.015,8,24,2,0.85,0.15,0.15,0.9319142086716685,0.8768869560940065,0.24753111129019767,-0.16931804044939902,0.5033557046979866,149,149,0
long_only,0.3,2.0,2.5,0.01,4,48,2,0.85,0.15,0.15,0.9318296682180219,0.8755006668530437,0.2366535900169704,-0.21213414603544836,0.5367647058823529,136,136,0
long_only,0.3,2.5,2.5,0.015,8,24,3,0.85,0.15,0.15,0.9302116562679477,0.8691330949713141,0.2495193990890423,-0.1943337808243273,0.5319148936170213,141,141,0
long_only,0.3,2.0,2.0,0.015,8,48,3,0.8,0.2,0.2,0.928251170006371,0.8567825780792993,0.2749312397970207,-0.16219460535986963,0.5606060606060606,132,132,0
long_only,0.6,2.0,3.0,0.015,8,48,3,0.8,0.2,0.2,0.9276237702384679,0.847731469641867,0.3008075982722236,-0.19557148378181546,0.552,125,125,0
long_only,0.6,1.5,2.5,0.01,8,24,2,0.85,0.15,0.15,0.9261520713449971,0.8843725924293393,0.2332990023353101,-0.16699814564893636,0.49390243902439024,164,164,0
long_only,0.3,1.5,2.5,0.01,8,48,3,0.85,0.15,0.15,0.9245416184128977,0.8625226223722514,0.23459424808616958,-0.1994343185890636,0.47058823529411764,136,136,0
long_only,0.6,2.0,2.5,0.01,8,24,2,0.8,0.2,0.2,0.9230564415171901,0.8934289502969257,0.2536777341062624,-0.13605973941010943,0.489247311827957,186,186,0
long_only,1.0,2.0,2.0,0.015,4,48,3,0.8,0.2,0.2,0.922684050318425,0.854578297361456,0.2666655519039791,-0.16543345406933038,0.5703703703703704,135,135,0
long_only,1.0,2.0,3.0,0.015,4,48,3,0.8,0.2,0.2,0.9207643882082254,0.8426790421595383,0.2920626942198685,-0.19557148378181546,0.5555555555555556,126,126,0
long_only,1.0,1.5,3.0,0.01,8,48,2,0.8,0.2,0.2,0.9206763804688066,0.8658884381550905,0.26365349089086876,-0.19097188431271392,0.45751633986928103,153,153,0
long_only,0.6,2.0,2.0,0.015,4,48,2,0.8,0.2,0.2,0.9200584318211973,0.8528763800210593,0.2700337061409608,-0.1975942101990169,0.5474452554744526,137,137,0
long_only,0.6,2.0,2.5,0.015,4,48,2,0.8,0.2,0.2,0.9200495166583413,0.8512934645463768,0.29206610821782064,-0.20723089451756957,0.5447761194029851,134,134,0
long_only,1.0,2.5,3.0,0.015,4,48,2,0.85,0.15,0.15,0.918480176582308,0.8887950867588161,0.2904725376912112,-0.2582941364885982,0.5566037735849056,106,106,0
long_only,0.3,2.5,2.0,0.01,4,48,2,0.8,0.2,0.2,0.915522608688974,0.8736603337842864,0.2689553937376532,-0.23174719662544588,0.5866666666666667,150,150,0
long_only,0.3,2.5,2.5,0.01,8,24,2,0.85,0.15,0.15,0.9127788627777323,0.8646623045829598,0.24065952945027358,-0.18953136966235581,0.5477707006369427,157,157,0
long_only,0.6,2.0,3.0,0.015,8,24,3,0.85,0.15,0.15,0.9117910180199716,0.8556225921585379,0.2462959593334304,-0.2087233881067899,0.5390070921985816,141,141,0
