trade_direction,entry_atr_mult,sl_atr_mult,tp_atr_mult,min_sl,min_hold,max_hold,cooldown,long_threshold,short_threshold,signal_quantile,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short
both,0.3,2.5,3.0,0.015,4,48,2,0.925,0.075,0.075,2.1290113038136966,2.0305807371964995,0.907198465602802,-0.16070929240663695,0.5737704918032787,122,53,69
long_only,1.0,2.0,3.0,0.015,8,48,3,0.925,0.075,0.075,2.12764073583936,2.138317698461848,0.5543536644238278,-0.10184600320721872,0.6,55,55,0
long_only,0.3,1.5,2.5,0.015,8,48,2,0.925,0.075,0.075,2.126693006392389,2.134360460905362,0.5379707127501818,-0.09343366084540354,0.5964912280701754,57,57,0
long_only,0.6,2.0,3.0,0.015,4,48,3,0.95,0.05,0.05,2.125628584586187,2.152639524651104,0.49718699695021296,-0.09266146389378799,0.5652173913043478,46,46,0
long_only,0.6,2.0,2.5,0.015,8,48,2,0.925,0.075,0.075,2.1229013511226493,2.132062170082545,0.5464774104132941,-0.10728663035111957,0.6071428571428571,56,56,0
both,0.6,2.5,3.0,0.01,8,48,3,0.95,0.05,0.05,2.122271683894956,2.0544243339762316,0.752183159302211,-0.12061205744285179,0.5148514851485149,101,46,55
both,0.6,2.0,3.0,0.015,4,48,2,0.95,0.05,0.05,2.121741586564573,2.0537783443167505,0.7863089154371299,-0.15946987512299313,0.504950495049505,101,47,54
both,0.3,1.5,2.0,0.01,4,48,2,0.925,0.075,0.075,2.120044985135064,2.0529167251660154,0.7013635627826895,-0.09020849283413086,0.5515151515151515,165,64,101
long_only,0.6,2.5,3.0,0.015,8,48,3,0.925,0.075,0.075,2.118992046967267,2.132871669423445,0.5616077292949677,-0.10735935185750091,0.6415094339622641,53,53,0
long_only,0.3,2.0,3.0,0.015,4,48,2,0.925,0.075,0.075,2.117178766199251,2.126258865220031,0.5506408572381019,-0.11029025967008207,0.6071428571428571,56,56,0
both,0.3,2.5,2.5,0.01,8,48,2,0.95,0.05,0.05,2.1168203024089225,2.0373766311482346,0.7352409685739225,-0.12116193300090845,0.5185185185185185,108,49,59
both,0.3,2.5,3.0,0.015,8,48,3,0.925,0.075,0.075,2.1152256520478065,2.016093011712811,0.8967982300101003,-0.16383102507709543,0.5702479338842975,121,52,69
long_only,0.6,1.5,3.0,0.015,4,48,3,0.925,0.075,0.075,2.114823943407794,2.1242652199261634,0.5329796304793648,-0.08733261453424188,0.5714285714285714,56,56,0
long_only,0.6,1.5,2.5,0.015,8,48,3,0.925,0.075,0.075,2.11025740342893,2.119902105763305,0.5240064131671915,-0.09343366084540317,0.5892857142857143,56,56,0
long_only,1.0,2.5,2.5,0.015,8,48,3,0.925,0.075,0.075,2.1092886067432226,2.1217941548778114,0.5459003706653249,-0.10735935185750019,0.6296296296296297,54,54,0
long_only,1.0,2.5,3.0,0.015,8,48,3,0.95,0.05,0.05,2.1078538969024505,2.1363038106329477,0.5053210082136215,-0.10912997106404482,0.6,45,45,0
both,1.0,2.5,3.0,0.015,4,48,2,0.925,0.075,0.075,2.107845923517398,2.0094358988723893,0.8901694021601776,-0.16297910435243973,0.5655737704918032,122,53,69
long_only,0.6,1.5,3.0,0.015,4,48,2,0.925,0.075,0.075,2.1066430698037557,2.1161943004188353,0.5280519728488422,-0.08733261453424179,0.5714285714285714,56,56,0
long_only,1.0,2.0,2.5,0.015,8,48,2,0.95,0.05,0.05,2.105865069784211,2.133464716789936,0.47825060578422307,-0.09400492578647472,0.5652173913043478,46,46,0
both,0.6,2.0,3.0,0.015,4,48,3,0.95,0.05,0.05,2.102875066701406,2.0366991949982447,0.7509486504753462,-0.14549037301373863,0.5,100,46,54
both,0.6,2.5,3.0,0.015,8,48,2,0.925,0.075,0.075,2.1012008811500493,2.0020936668264375,0.8775739197871939,-0.16297910435243915,0.5702479338842975,121,52,69
both,0.3,2.0,3.0,0.015,8,48,2,0.9,0.1,0.1,2.0990260776991163,2.0190836130482546,1.0191731751079267,-0.1555759413935005,0.5743243243243243,148,66,82
