entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,long_threshold,short_threshold,long_signal_threshold,short_signal_threshold,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short,short_ratio
0.6,1.0,2.5,18,36,3,0.58,0.53,0.08,0.03,0.7142203301454843,0.6645749400745623,0.1519066583179225,-0.07613138303488583,0.425531914893617,47,5,42,0.8936170212765957
0.6,1.0,3.0,18,36,12,0.6,0.53,0.1,0.03,0.7123788174360862,0.6623788174360862,0.13569670632399022,-0.09248919510131784,0.43243243243243246,37,0,37,1.0
0.6,1.0,3.0,18,36,12,0.63,0.53,0.13,0.03,0.7123788174360862,0.6623788174360862,0.13569670632399022,-0.09248919510131784,0.43243243243243246,37,0,37,1.0
0.6,1.0,3.0,18,36,12,0.65,0.53,0.15,0.03,0.7123788174360862,0.6623788174360862,0.13569670632399022,-0.09248919510131784,0.43243243243243246,37,0,37,1.0
0.9,1.0,3.5,18,24,3,0.58,0.53,0.08,0.03,0.7102598524284877,0.6602598524284876,0.15200329181270122,-0.0873993859365692,0.4,50,5,45,0.9
0.3,1.0,2.5,18,36,3,0.58,0.53,0.08,0.03,0.7078734250108689,0.658228034939947,0.15182596556903638,-0.07613138303488448,0.425531914893617,47,5,42,0.8936170212765957
0.3,1.0,3.0,18,36,3,0.6,0.53,0.1,0.03,0.7061664591337697,0.6561664591337697,0.14276324381218397,-0.07613138303488375,0.43902439024390244,41,0,41,1.0
0.3,1.0,3.0,18,36,3,0.63,0.53,0.13,0.03,0.7061664591337697,0.6561664591337697,0.14276324381218397,-0.07613138303488375,0.43902439024390244,41,0,41,1.0
0.3,1.0,3.0,18,36,3,0.65,0.53,0.15,0.03,0.7061664591337697,0.6561664591337697,0.14276324381218397,-0.07613138303488375,0.43902439024390244,41,0,41,1.0
0.9,1.0,2.5,18,24,3,0.6,0.53,0.1,0.03,0.7059025202986566,0.6559025202986566,0.13592498946656284,-0.07836722072200784,0.391304347826087,46,0,46,1.0
0.9,1.0,2.5,18,24,3,0.63,0.53,0.13,0.03,0.7059025202986566,0.6559025202986566,0.13592498946656284,-0.07836722072200784,0.391304347826087,46,0,46,1.0
0.9,1.0,2.5,18,24,3,0.65,0.53,0.15,0.03,0.7059025202986566,0.6559025202986566,0.13592498946656284,-0.07836722072200784,0.391304347826087,46,0,46,1.0
0.9,1.0,2.5,18,24,12,0.6,0.53,0.1,0.03,0.7015119639558991,0.651511963955899,0.12844219799891055,-0.09757900426606103,0.39473684210526316,38,0,38,1.0
0.9,1.0,2.5,18,24,12,0.63,0.53,0.13,0.03,0.7015119639558991,0.651511963955899,0.12844219799891055,-0.09757900426606103,0.39473684210526316,38,0,38,1.0
0.9,1.0,2.5,18,24,12,0.65,0.53,0.15,0.03,0.7015119639558991,0.651511963955899,0.12844219799891055,-0.09757900426606103,0.39473684210526316,38,0,38,1.0
0.6,1.0,3.5,18,48,2,0.6,0.53,0.1,0.03,0.700405030783518,0.650405030783518,0.14535458446658267,-0.07613138303488186,0.46153846153846156,39,0,39,1.0
0.6,1.0,3.5,18,48,2,0.63,0.53,0.13,0.03,0.700405030783518,0.650405030783518,0.14535458446658267,-0.07613138303488186,0.46153846153846156,39,0,39,1.0
